2025-06-26 18:28:17,005 - INFO - Scraping selectors for search_bar at http://localhost:3000/#/search
2025-06-26 18:28:18,900 - INFO - WebDriver initialized for selector scraping
2025-06-26 18:28:25,645 - INFO - Angular page stabilized
2025-06-26 18:28:51,237 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate mat-ripple mat-search_icon-close ng-tns-c2529363319-0 material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-search_icons ng-tns-c2529363319-0'}
2025-06-26 18:28:51,292 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate mat-ripple mat-search_icon-search ng-tns-c2529363319-0 material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'span', 'parent_class': 'mat-search_icons ng-tns-c2529363319-0'}
2025-06-26 18:28:51,340 - INFO - Found submit element: {'tag': 'button', 'id': 'navbarAccount', 'class': 'mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
2025-06-26 18:28:51,390 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base'}
2025-06-26 18:28:51,439 - INFO - Found submit element: {'tag': 'button', 'id': 'navbarLanguageButton', 'class': 'mat-mdc-tooltip-trigger mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'mat-toolbar-row', 'parent_class': 'mat-toolbar-row'}
2025-06-26 18:28:51,493 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-tooltip-trigger mat-mdc-menu-trigger buttons mdc-button mat-mdc-button mat-unthemed mat-mdc-button-base'}
2025-06-26 18:28:51,544 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mat-mdc-paginator-navigation-previous mdc-icon-button mat-mdc-icon-button mat-mdc-button-disabled mat-mdc-button-disabled-interactive mat-unthemed mat-mdc-button-base mat-mdc-tooltip-disabled', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'button', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'mat-mdc-paginator-range-actions'}
2025-06-26 18:28:51,593 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mat-mdc-paginator-navigation-next mdc-icon-button mat-mdc-icon-button mat-mdc-button-disabled-interactive mat-unthemed mat-mdc-button-base', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'button', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'mat-mdc-paginator-range-actions'}
2025-06-26 18:28:51,642 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'mat-mdc-tooltip-trigger mdc-button mdc-button--raised mat-mdc-raised-button mat-warn mat-mdc-button-base ng-star-inserted', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'button-footer'}
2025-06-26 18:28:51,698 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'mat-mdc-tooltip-trigger mdc-button mdc-button--raised mat-mdc-raised-button mat-warn mat-mdc-button-base ng-star-inserted'}
2025-06-26 18:28:51,753 - INFO - Found submit element: {'tag': 'button', 'id': '', 'class': 'close-dialog mdc-button mdc-button--raised mat-mdc-raised-button mat-primary mat-mdc-button-base ng-star-inserted', 'name': '', 'matinput': '', 'placeholder': '', 'type': 'submit', 'formcontrolname': '', 'parent_tag': 'div', 'parent_class': 'button-footer'}
2025-06-26 18:28:51,809 - INFO - Found submit element: {'tag': 'mat-icon', 'id': '', 'class': 'mat-icon notranslate material-icons mat-ligature-font mat-icon-no-color', 'name': '', 'matinput': '', 'placeholder': '', 'type': '', 'formcontrolname': '', 'parent_tag': 'button', 'parent_class': 'close-dialog mdc-button mdc-button--raised mat-mdc-raised-button mat-primary mat-mdc-button-base ng-star-inserted'}
2025-06-26 18:28:54,229 - INFO - Selectors saved to data/selectors.json
